Cluster-1	total=31	enrichmentScore=7.888470376061848	phaseStdDev=4.846752261410203	"rhabdomere,Vision,visual perception,Phototransduction - fly,phototransduction,deactivation of rhodopsin mediated signaling,inaD signaling complex,Sensory transductionAnnotation Cluster 1"	Enrichment Score: 7.888470376061848								
													
Cluster-23	total=15	enrichmentScore=0.9063291348447843	phaseStdDev=3.6634586970062597	"WD40 repeat, conserved site,WD40,WD 6,WD40 repeat,WD repeat,WD 5,WD 7,WD40/YVTN repeat-like-containing domain,WD40-repeat-containing domain,WD 4,WD 3,WD 1,WD 2Annotation Cluster 23"	Enrichment Score: 0.9063291348447843								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	"IPR019775:WD40 repeat, conserved site"	11	1.873935264	0.021600264	-0.801734	2.9535498	"FBtr0088228, FBtr0088227, FBtr0304060, FBtr0082431, FBtr0074949, FBtr0273328, FBtr0080325, FBtr0299509, FBtr0088373, FBtr0088031, FBtr0083655"	534	99	10984	2.285476488	0.999999999	1
SMART	SM00320:WD40	14	2.385008518	0.069024523	0.1687175	3.77934754	"FBtr0110882, FBtr0074949, FBtr0080325, FBtr0273328, FBtr0299509, FBtr0083655, FBtr0088228, FBtr0088227, FBtr0304060, FBtr0082431, FBtr0082186, FBtr0088373, FBtr0088031, FBtr0114615"	246	176	5218	1.687269032	0.999999058	1
UP_SEQ_FEATURE	repeat:WD 6	5	0.851788756	0.077707198	2.335282	4.080089888	"FBtr0082431, FBtr0082186, FBtr0074949, FBtr0080325, FBtr0299509"	171	30	3113	3.03411306	1	1
INTERPRO	IPR001680:WD40 repeat	14	2.385008518	0.089350587	0.1687175	3.77934754	"FBtr0110882, FBtr0074949, FBtr0080325, FBtr0273328, FBtr0299509, FBtr0083655, FBtr0088228, FBtr0088227, FBtr0304060, FBtr0082431, FBtr0082186, FBtr0088373, FBtr0088031, FBtr0114615"	534	177	10984	1.626949364	1	1
UP_KEYWORDS	WD repeat	7	1.192504259	0.125691739	2.226808571	4.145223469	"FBtr0082431, FBtr0082186, FBtr0110882, FBtr0074949, FBtr0080325, FBtr0299509, FBtr0114615"	587	81	13921	2.049487875	1	0.544033479
UP_SEQ_FEATURE	repeat:WD 5	5	0.851788756	0.150579266	2.335282	4.080089888	"FBtr0082431, FBtr0082186, FBtr0074949, FBtr0080325, FBtr0299509"	171	38	3113	2.395352416	1	1
UP_SEQ_FEATURE	repeat:WD 7	4	0.681431005	0.153114326	3.649436	3.489113524	"FBtr0082186, FBtr0074949, FBtr0080325, FBtr0299509"	171	25	3113	2.912748538	1	1
INTERPRO	IPR015943:WD40/YVTN repeat-like-containing domain	15	2.555366269	0.157688485	0.248759	3.663458697	"FBtr0110882, FBtr0074949, FBtr0080325, FBtr0273328, FBtr0299509, FBtr0083655, FBtr0088228, FBtr0088227, FBtr0304060, FBtr0082431, FBtr0329992, FBtr0082186, FBtr0088373, FBtr0088031, FBtr0114615"	534	214	10984	1.441772551	1	1
INTERPRO	IPR017986:WD40-repeat-containing domain	14	2.385008518	0.169943452	0.1687175	3.77934754	"FBtr0110882, FBtr0074949, FBtr0080325, FBtr0273328, FBtr0299509, FBtr0083655, FBtr0088228, FBtr0088227, FBtr0304060, FBtr0082431, FBtr0082186, FBtr0088373, FBtr0088031, FBtr0114615"	534	199	10984	1.447085615	1	1
UP_SEQ_FEATURE	repeat:WD 4	5	0.851788756	0.171871324	2.335282	4.080089888	"FBtr0082431, FBtr0082186, FBtr0074949, FBtr0080325, FBtr0299509"	171	40	3113	2.275584795	1	1
UP_SEQ_FEATURE	repeat:WD 3	5	0.851788756	0.205599931	2.335282	4.080089888	"FBtr0082431, FBtr0082186, FBtr0074949, FBtr0080325, FBtr0299509"	171	43	3113	2.116823065	1	1
UP_SEQ_FEATURE	repeat:WD 1	5	0.851788756	0.241068682	2.335282	4.080089888	"FBtr0082431, FBtr0082186, FBtr0074949, FBtr0080325, FBtr0299509"	171	46	3113	1.978769387	1	1
UP_SEQ_FEATURE	repeat:WD 2	5	0.851788756	0.241068682	2.335282	4.080089888	"FBtr0082431, FBtr0082186, FBtr0074949, FBtr0080325, FBtr0299509"	171	46	3113	1.978769387	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0083655	CG12333-RA	1.131514	0.029757	22.1	FlyBase CG12333-RA	Figure for CG12333-RA							
FBtr0304060	mv-RB	1.760441	0.031037	20.5	FlyBase mv-RB	Figure for mv-RB							
FBtr0114615	l(2)05287-RB	1.143651	0.028494	21.7	FlyBase l(2)05287-RB	Figure for l(2)05287-RB							
FBtr0088373	CG1671-RA	1.107971	0.035105	20.9	FlyBase CG1671-RA	Figure for CG1671-RA							
FBtr0082431	CG14722-RA	2.782091	0	21.1	FlyBase CG14722-RA	Figure for CG14722-RA							
FBtr0273328	Pex7-RB	2.003	0.022309	1.7	FlyBase Pex7-RB	Figure for Pex7-RB							
FBtr0080325	esc-RA	0.988369	0.041578	2.4	FlyBase esc-RA	Figure for esc-RA							
FBtr0088031	CG13192-RA	3.367228	0	20.4	FlyBase CG13192-RA	Figure for CG13192-RA							
FBtr0082186	tws-RA	3.026053	0.008018	7.3	FlyBase tws-RA	Figure for tws-RA							
FBtr0329992	Sema2b-RD	0.433538	0.03836	1.4	FlyBase Sema2b-RD	Figure for Sema2b-RD							
FBtr0088227	CG12325-RA	1.163143	0.031037	22.4	FlyBase CG12325-RA	Figure for CG12325-RA							
FBtr0299509	DCX-EMAP-RC	2.787041	0	6.4	FlyBase DCX-EMAP-RC	Figure for DCX-EMAP-RC							
FBtr0088228	nclb-RA	0.968701	0.031953	22.8	FlyBase nclb-RA	Figure for nclb-RA							
FBtr0074949	Gbeta76C-RA	3.344613	0	22.5	FlyBase Gbeta76C-RA	Figure for Gbeta76C-RA							
FBtr0110882	Wdr62-RB	0.288171	0.040178	6.2	FlyBase Wdr62-RB	Figure for Wdr62-RB							
													
Cluster-24	total=8	enrichmentScore=0.8997853933443155	phaseStdDev=2.4699488176016295	"Protein biosynthesis,Elongation factor,translation elongation factor activityAnnotation Cluster 24"	Enrichment Score: 0.8997853933443155								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Protein biosynthesis	8	1.36286201	0.066637494	-1.77077425	2.469948818	"FBtr0071670, FBtr0073044, FBtr0077168, FBtr0079413, FBtr0079952, FBtr0339964, FBtr0080994, FBtr0073348"	587	85	13921	2.232047299	0.999999704	0.333187468
UP_KEYWORDS	Elongation factor	3	0.511073254	0.129504954	-3.126562333	1.336029868	"FBtr0079413, FBtr0079952, FBtr0080994"	587	15	13921	4.743100511	1	0.544033479
GOTERM_MF_DIRECT	GO:0003746~translation elongation factor activity	3	0.511073254	0.2315468	-3.126562333	1.336029868	"FBtr0079413, FBtr0079952, FBtr0080994"	425	20	9284	3.276705882	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0339964	eIF3m-RB	0.686709	0.031953	23	FlyBase eIF3m-RB	Figure for eIF3m-RB							
FBtr0073348	LeuRS-m-RA	1.179135	0.034536	20	FlyBase LeuRS-m-RA	Figure for LeuRS-m-RA							
FBtr0071670	eIF3k-RA	0.96637	0.016774	0.6	FlyBase eIF3k-RA	Figure for eIF3k-RA							
FBtr0080994	mEFTs-RA	4.100212	0	20.3	FlyBase mEFTs-RA	Figure for mEFTs-RA							
FBtr0079413	mEFG1-RA	2.194826	0	19.6	FlyBase mEFG1-RA	Figure for mEFG1-RA							
FBtr0077168	AlaRS-m-RA	0.878841	0.03296	20.5	FlyBase AlaRS-m-RA	Figure for AlaRS-m-RA							
FBtr0079952	eEF1delta-RB	1.922086	0.013115	22.7	FlyBase eEF1delta-RB	Figure for eEF1delta-RB							
FBtr0073044	eIF1-RA	1.237725	0.031953	3.1	FlyBase eIF1-RA	Figure for eIF1-RA							
													
Cluster-25	total=53	enrichmentScore=0.8931347326142005	phaseStdDev=4.124316133499059	"Kinase,Nucleotide-binding,ATP-binding,ATP bindingAnnotation Cluster 25"	Enrichment Score: 0.8931347326142005								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Kinase	19	3.236797274	0.040532903	0.68468675	4.299968445	"FBtr0071662, FBtr0302639, FBtr0336692, FBtr0302661, FBtr0111274, FBtr0301488, FBtr0084213, FBtr0084214, FBtr0333223, FBtr0083399, FBtr0087047, FBtr0299526, FBtr0088422, FBtr0334483, FBtr0334606, FBtr0087891, FBtr0079986, FBtr0334836, FBtr0331960, FBtr0079869"	587	273	13921	1.650529482	0.999879063	0.245653959
UP_KEYWORDS	Nucleotide-binding	39	6.6439523	0.064994339	0.210955171	4.086700512	"FBtr0302639, FBtr0083736, FBtr0336692, FBtr0081898, FBtr0111274, FBtr0301488, FBtr0300598, FBtr0082785, FBtr0088438, FBtr0084213, FBtr0084214, FBtr0086457, FBtr0333223, FBtr0087047, FBtr0299526, FBtr0078571, FBtr0080590, FBtr0078694, FBtr0077168, FBtr0334836, FBtr0331960, FBtr0077886, FBtr0335205, FBtr0073348, FBtr0075347, FBtr0079949, FBtr0071883, FBtr0089497, FBtr0302661, FBtr0302388, FBtr0081468, FBtr0087832, FBtr0086126, FBtr0088422, FBtr0334284, FBtr0334483, FBtr0079413, FBtr0087891, FBtr0334606, FBtr0332800, FBtr0076204"	587	701	13921	1.319407417	0.999999566	0.333187468
UP_KEYWORDS	ATP-binding	28	4.770017036	0.252360969	-0.249656567	4.028218733	"FBtr0336692, FBtr0081898, FBtr0111274, FBtr0301488, FBtr0300598, FBtr0082785, FBtr0084213, FBtr0084214, FBtr0086457, FBtr0333223, FBtr0087047, FBtr0299526, FBtr0080590, FBtr0077168, FBtr0334836, FBtr0331960, FBtr0077886, FBtr0335205, FBtr0073348, FBtr0075347, FBtr0079949, FBtr0071883, FBtr0089497, FBtr0302661, FBtr0081468, FBtr0086126, FBtr0088422, FBtr0334483, FBtr0087891, FBtr0334606"	587	558	13921	1.190025218	1	0.771040281
GOTERM_MF_DIRECT	GO:0005524~ATP binding	37	6.303236797	0.402490508	0.241376744	4.180116214	"FBtr0336692, FBtr0081898, FBtr0111274, FBtr0301488, FBtr0084723, FBtr0300598, FBtr0082785, FBtr0084213, FBtr0084214, FBtr0086457, FBtr0333223, FBtr0087047, FBtr0299526, FBtr0080590, FBtr0332570, FBtr0077168, FBtr0082071, FBtr0334836, FBtr0331960, FBtr0077886, FBtr0335205, FBtr0073348, FBtr0075347, FBtr0072576, FBtr0079949, FBtr0071883, FBtr0071320, FBtr0089497, FBtr0302661, FBtr0084712, FBtr0081468, FBtr0083399, FBtr0086126, FBtr0088422, FBtr0334483, FBtr0337034, FBtr0087891, FBtr0334606, FBtr0339237"	425	751	9284	1.076237174	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0078571	Arf79F-RA	1.207369	0.028494	0.4	FlyBase Arf79F-RA	Figure for Arf79F-RA							
FBtr0071320	lz-RA	0.243223	0.048636	21.7	FlyBase lz-RA	Figure for lz-RA							
FBtr0332800	Rac2-RB	1.881363	0.013115	5.4	FlyBase Rac2-RB	Figure for Rac2-RB							
FBtr0089497	Gdh-RF	2.130943	0.008018	22.5	FlyBase Gdh-RF	Figure for Gdh-RF							
FBtr0302639	Pka-R1-RX	1.192264	0.022309	0.6	FlyBase Pka-R1-RX	Figure for Pka-R1-RX							
FBtr0339237	CG11221-RB	1.506694	0.015683	7.7	FlyBase CG11221-RB	Figure for CG11221-RB							
FBtr0082071	CG16789-RA	2.20816	0.018529	6.3	FlyBase CG16789-RA	Figure for CG16789-RA							
FBtr0333223	nmo-RH	1.403179	0.005379	10.2	FlyBase nmo-RH	Figure for nmo-RH							
FBtr0084214	PyK-RA	1.827	0.005379	23.2	FlyBase PyK-RA	Figure for PyK-RA							
FBtr0336692	Tao-RJ	1.051403	0.02585	2.6	FlyBase Tao-RJ	Figure for Tao-RJ							
FBtr0087047	inaC-RA	4.90405	0	1.1	FlyBase inaC-RA	Figure for inaC-RA							
FBtr0077168	AlaRS-m-RA	0.878841	0.03296	20.5	FlyBase AlaRS-m-RA	Figure for AlaRS-m-RA							
FBtr0331960	Pkc53E-RF	1.486684	0.027401	20	FlyBase Pkc53E-RF	Figure for Pkc53E-RF							
FBtr0088422	Pfk-RB	2.59464	0.008018	5.2	FlyBase Pfk-RB	Figure for Pfk-RB							
FBtr0332570	CG4629-RE	3.285529	0	22.3	FlyBase CG4629-RE	Figure for CG4629-RE							
FBtr0084712	CG11069-RA	1.423063	0.028494	6.4	FlyBase CG11069-RA	Figure for CG11069-RA							
FBtr0086457	par-1-RH	2.139714	0.009609	1.9	FlyBase par-1-RH	Figure for par-1-RH							
FBtr0081898	pch2-RA	1.535855	0.028494	22.7	FlyBase pch2-RA	Figure for pch2-RA							
FBtr0071883	blw-RA	0.839667	0.040404	21.2	FlyBase blw-RA	Figure for blw-RA							
FBtr0081468	CG9253-RA	1.952054	0.013115	21.5	FlyBase CG9253-RA	Figure for CG9253-RA							
FBtr0299526	l(1)G0196-RK	0.65634	0.041225	1.4	FlyBase l(1)G0196-RK	Figure for l(1)G0196-RK							
FBtr0083399	GckIII-RA	1.288401	0.027401	23.1	FlyBase GckIII-RA	Figure for GckIII-RA							
FBtr0072576	CG32344-RA	1.526302	0.037102	22.4	FlyBase CG32344-RA	Figure for CG32344-RA							
FBtr0302661	rdgA-RB	1.017723	0.039811	20.7	FlyBase rdgA-RB	Figure for rdgA-RB							
FBtr0084213	PyK-RB	1.27281	0.026614	6.3	FlyBase PyK-RB	Figure for PyK-RB							
FBtr0080590	bgm-RA	1.642972	0.016774	2.5	FlyBase bgm-RA	Figure for bgm-RA							
FBtr0087891	Ak6-RA	1.371965	0.02585	22.9	FlyBase Ak6-RA	Figure for Ak6-RA							
FBtr0082785	Act87E-RA	0.941714	0.039622	21.1	FlyBase Act87E-RA	Figure for Act87E-RA							
FBtr0300598	ATPCL-RF	1.340352	0.028494	6.1	FlyBase ATPCL-RF	Figure for ATPCL-RF							
FBtr0078694	Rheb-RB	1.250691	0.008018	19.8	FlyBase Rheb-RB	Figure for Rheb-RB							
FBtr0083736	cry-RA	4.887021	0	3.3	FlyBase cry-RA	Figure for cry-RA							
FBtr0077886	CG17646-RA	0.581958	0.051123	2	FlyBase CG17646-RA	Figure for CG17646-RA							
FBtr0334284	Rgk1-RC	0.660362	0.042001	8.3	FlyBase Rgk1-RC	Figure for Rgk1-RC							
FBtr0337034	Dhc98D-RD	2.354675	0.009609	21.1	FlyBase Dhc98D-RD	Figure for Dhc98D-RD							
FBtr0301488	Lkb1-RJ	1.374105	0.005379	22.9	FlyBase Lkb1-RJ	Figure for Lkb1-RJ							
FBtr0079949	CG4908-RA	0.835772	0	19	FlyBase CG4908-RA	Figure for CG4908-RA							
FBtr0076204	Mocs1-RA	3.719518	0	21.8	FlyBase Mocs1-RA	Figure for Mocs1-RA							
FBtr0087832	Galphaq-RD	1.085812	0.023884	1.1	FlyBase Galphaq-RD	Figure for Galphaq-RD							
FBtr0084723	CG31121-RA	3.779699	0	6	FlyBase CG31121-RA	Figure for CG31121-RA							
FBtr0334836	ninaC-RD	1.840505	0.013115	23.7	FlyBase ninaC-RD	Figure for ninaC-RD							
FBtr0088438	Pka-R2-RB	1.160533	0.016774	6.6	FlyBase Pka-R2-RB	Figure for Pka-R2-RB							
FBtr0334483	bt-RI	0.639462	0.02037	15.5	FlyBase bt-RI	Figure for bt-RI							
FBtr0302388	CG30054-RE	1.290745	0.018529	1.2	FlyBase CG30054-RE	Figure for CG30054-RE							
FBtr0073348	LeuRS-m-RA	1.179135	0.034536	20	FlyBase LeuRS-m-RA	Figure for LeuRS-m-RA							
FBtr0079869	IP3K1-RA	0.876896	0.048636	2.3	FlyBase IP3K1-RA	Figure for IP3K1-RA							
FBtr0334606	gish-RM	1.099842	0.041578	6.6	FlyBase gish-RM	Figure for gish-RM							
FBtr0086126	Mccc2-RA	0.698499	0.039622	20.9	FlyBase Mccc2-RA	Figure for Mccc2-RA							
FBtr0071662	CG10082-RB	0.363424	0.053786	4.5	FlyBase CG10082-RB	Figure for CG10082-RB							
FBtr0079413	mEFG1-RA	2.194826	0	19.6	FlyBase mEFG1-RA	Figure for mEFG1-RA							
FBtr0335205	Gdh-RD	2.14675	0.011589	22.3	FlyBase Gdh-RD	Figure for Gdh-RD							
FBtr0075347	Dbp73D-RA	0.882414	0.041225	22	FlyBase Dbp73D-RA	Figure for Dbp73D-RA							
FBtr0079986	Mulk-RA	2.308847	0.005379	20.8	FlyBase Mulk-RA	Figure for Mulk-RA							
FBtr0111274	CG17528-RC	0.558466	0.036727	20.1	FlyBase CG17528-RC	Figure for CG17528-RC							
													
Cluster-26	total=36	enrichmentScore=0.8852583016040827	phaseStdDev=3.861588589379468	"GTPase activity,GTP binding,GTP-binding,Small GTP-binding protein domain,P-loop containing nucleoside triphosphate hydrolase,small GTPase mediated signal transduction,Small GTPase superfamily,GTPAnnotation Cluster 26"	Enrichment Score: 0.8852583016040827								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_MF_DIRECT	GO:0003924~GTPase activity	14	2.385008518	0.00765222	-0.0983052	4.01883639	"FBtr0080626, FBtr0086906, FBtr0089931, FBtr0346636, FBtr0302388, FBtr0087832, FBtr0075390, FBtr0083361, FBtr0078571, FBtr0334284, FBtr0078342, FBtr0078694, FBtr0079413, FBtr0332800, FBtr0077169"	425	133	9284	2.299442724	0.969186013	0.86661387
GOTERM_MF_DIRECT	GO:0005525~GTP binding	15	2.555366269	0.030521077	-0.69838	3.590398848	"FBtr0080626, FBtr0089497, FBtr0086906, FBtr0089931, FBtr0346636, FBtr0302388, FBtr0087832, FBtr0075390, FBtr0078571, FBtr0334284, FBtr0078342, FBtr0078694, FBtr0079413, FBtr0332800, FBtr0077169, FBtr0076204, FBtr0335205"	425	176	9284	1.861764706	0.999999202	1
UP_KEYWORDS	GTP-binding	9	1.533219761	0.09990672	0.2383925	3.837412106	"FBtr0087832, FBtr0078571, FBtr0334284, FBtr0089497, FBtr0078694, FBtr0079413, FBtr0332800, FBtr0076204, FBtr0335205, FBtr0302388"	587	112	13921	1.905710027	1	0.46468242
INTERPRO	IPR005225:Small GTP-binding protein domain	7	1.192504259	0.230471484	-1.528914625	3.805952977	"FBtr0075390, FBtr0080626, FBtr0078571, FBtr0078694, FBtr0079413, FBtr0332800, FBtr0089931, FBtr0346636"	534	85	10984	1.693941397	1	1
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	29	4.940374787	0.272876055	-0.083130742	4.007617995	"FBtr0080626, FBtr0305303, FBtr0081898, FBtr0086906, FBtr0084723, FBtr0300276, FBtr0346636, FBtr0310205, FBtr0078571, FBtr0078694, FBtr0077169, FBtr0082071, FBtr0334836, FBtr0077886, FBtr0075347, FBtr0072576, FBtr0079949, FBtr0071883, FBtr0073484, FBtr0073064, FBtr0084712, FBtr0089931, FBtr0302388, FBtr0081468, FBtr0087832, FBtr0075390, FBtr0334284, FBtr0337034, FBtr0079413, FBtr0087891, FBtr0332800"	534	512	10984	1.16505735	1	1
GOTERM_BP_DIRECT	GO:0007264~small GTPase mediated signal transduction	5	0.851788756	0.319915983	2.6594542	4.281358374	"FBtr0080626, FBtr0078571, FBtr0334284, FBtr0078694, FBtr0332800"	463	68	10996	1.746283827	1	0.985803017
INTERPRO	IPR001806:Small GTPase superfamily	5	0.851788756	0.399270247	0.585101833	5.316193137	"FBtr0080626, FBtr0334284, FBtr0078694, FBtr0332800, FBtr0089931, FBtr0346636"	534	66	10984	1.558279423	1	1
UP_SEQ_FEATURE	nucleotide phosphate-binding region:GTP	5	0.851788756	0.441637652	-0.3342596	3.668657403	"FBtr0087832, FBtr0078571, FBtr0078694, FBtr0079413, FBtr0332800"	171	62	3113	1.468119223	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0078571	Arf79F-RA	1.207369	0.028494	0.4	FlyBase Arf79F-RA	Figure for Arf79F-RA							
FBtr0332800	Rac2-RB	1.881363	0.013115	5.4	FlyBase Rac2-RB	Figure for Rac2-RB							
FBtr0089497	Gdh-RF	2.130943	0.008018	22.5	FlyBase Gdh-RF	Figure for Gdh-RF							
FBtr0086906	Ns2-RA	1.550936	0.017597	21.3	FlyBase Ns2-RA	Figure for Ns2-RA							
FBtr0300276	CG6967-RC	4.467581	0	22.2	FlyBase CG6967-RC	Figure for CG6967-RC							
FBtr0082071	CG16789-RA	2.20816	0.018529	6.3	FlyBase CG16789-RA	Figure for CG16789-RA							
FBtr0305303	pyd-RL	0.978588	0.036061	21.7	FlyBase pyd-RL	Figure for pyd-RL							
FBtr0083361	Scp2-RA	1.529934	0.026614	5	FlyBase Scp2-RA	Figure for Scp2-RA							
FBtr0077169	Srp54k-RA	0.724548	0.039622	0	FlyBase Srp54k-RA	Figure for Srp54k-RA							
FBtr0337034	Dhc98D-RD	2.354675	0.009609	21.1	FlyBase Dhc98D-RD	Figure for Dhc98D-RD							
FBtr0081898	pch2-RA	1.535855	0.028494	22.7	FlyBase pch2-RA	Figure for pch2-RA							
FBtr0071883	blw-RA	0.839667	0.040404	21.2	FlyBase blw-RA	Figure for blw-RA							
FBtr0078694	Rheb-RB	1.250691	0.008018	19.8	FlyBase Rheb-RB	Figure for Rheb-RB							
FBtr0081468	CG9253-RA	1.952054	0.013115	21.5	FlyBase CG9253-RA	Figure for CG9253-RA							
FBtr0072576	CG32344-RA	1.526302	0.037102	22.4	FlyBase CG32344-RA	Figure for CG32344-RA							
FBtr0089931	Rab32-RB	1.217333	0.009609	19.9	FlyBase Rab32-RB	Figure for Rab32-RB							
FBtr0346636	Rab32-RJ	1.858767	0.017597	18.7	FlyBase Rab32-RJ	Figure for Rab32-RJ							
FBtr0084712	CG11069-RA	1.423063	0.028494	6.4	FlyBase CG11069-RA	Figure for CG11069-RA							
FBtr0087891	Ak6-RA	1.371965	0.02585	22.9	FlyBase Ak6-RA	Figure for Ak6-RA							
FBtr0080626	Rab14-RA	1.0676	0.040178	3.4	FlyBase Rab14-RA	Figure for Rab14-RA							
FBtr0075390	CG33158-RB	1.491454	0.015683	20.6	FlyBase CG33158-RB	Figure for CG33158-RB							
FBtr0310205	pyd-RO	1.973547	0.016774	21.4	FlyBase pyd-RO	Figure for pyd-RO							
FBtr0334284	Rgk1-RC	0.660362	0.042001	8.3	FlyBase Rgk1-RC	Figure for Rgk1-RC							
FBtr0077886	CG17646-RA	0.581958	0.051123	2	FlyBase CG17646-RA	Figure for CG17646-RA							
FBtr0079949	CG4908-RA	0.835772	0	19	FlyBase CG4908-RA	Figure for CG4908-RA							
FBtr0076204	Mocs1-RA	3.719518	0	21.8	FlyBase Mocs1-RA	Figure for Mocs1-RA							
FBtr0073064	CG12016-RB	0.485848	0.031037	9.4	FlyBase CG12016-RB	Figure for CG12016-RB							
FBtr0073484	dlg1-RF	1.72059	0.018529	21.9	FlyBase dlg1-RF	Figure for dlg1-RF							
FBtr0087832	Galphaq-RD	1.085812	0.023884	1.1	FlyBase Galphaq-RD	Figure for Galphaq-RD							
FBtr0334836	ninaC-RD	1.840505	0.013115	23.7	FlyBase ninaC-RD	Figure for ninaC-RD							
FBtr0075347	Dbp73D-RA	0.882414	0.041225	22	FlyBase Dbp73D-RA	Figure for Dbp73D-RA							
FBtr0078342	Tsr1-RA	1.483904	0.017597	21.9	FlyBase Tsr1-RA	Figure for Tsr1-RA							
FBtr0079413	mEFG1-RA	2.194826	0	19.6	FlyBase mEFG1-RA	Figure for mEFG1-RA							
FBtr0084723	CG31121-RA	3.779699	0	6	FlyBase CG31121-RA	Figure for CG31121-RA							
FBtr0302388	CG30054-RE	1.290745	0.018529	1.2	FlyBase CG30054-RE	Figure for CG30054-RE							
FBtr0335205	Gdh-RD	2.14675	0.011589	22.3	FlyBase Gdh-RD	Figure for Gdh-RD							
													
Cluster-27	total=11	enrichmentScore=0.8622002980349263	phaseStdDev=4.909724809475948	"regulation of vesicle fusion,TBC,activation of GTPase activity,Rab-GTPase-TBC domain,regulation of GTPase activity,intracellular protein transport,Rab GTPase binding,GTPase activator activityAnnotation Cluster 27"	Enrichment Score: 0.8622002980349263								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0031338~regulation of vesicle fusion	4	0.681431005	0.043290371	0.67877375	3.552943179	"FBtr0076648, FBtr0332936, FBtr0084008, FBtr0087604"	463	19	10996	4.999886325	1	0.985803017
SMART	SM00164:TBC	4	0.681431005	0.081557186	0.67877375	3.552943179	"FBtr0076648, FBtr0332936, FBtr0084008, FBtr0087604"	246	22	5218	3.85661493	0.999999932	1
GOTERM_BP_DIRECT	GO:0090630~activation of GTPase activity	4	0.681431005	0.102456547	0.67877375	3.552943179	"FBtr0076648, FBtr0332936, FBtr0084008, FBtr0087604"	463	27	10996	3.518438525	1	0.985803017
INTERPRO	IPR000195:Rab-GTPase-TBC domain	4	0.681431005	0.10821909	0.67877375	3.552943179	"FBtr0076648, FBtr0332936, FBtr0084008, FBtr0087604"	534	24	10984	3.428214732	1	1
GOTERM_BP_DIRECT	GO:0043087~regulation of GTPase activity	5	0.851788756	0.1573737	2.1658892	4.352559435	"FBtr0076648, FBtr0332936, FBtr0084008, FBtr0087604, FBtr0290096"	463	50	10996	2.374946004	1	0.985803017
GOTERM_BP_DIRECT	GO:0006886~intracellular protein transport	8	1.36286201	0.15784169	0.9700655	3.059027211	"FBtr0076648, FBtr0070494, FBtr0332936, FBtr0332295, FBtr0077330, FBtr0334836, FBtr0084008, FBtr0087604"	463	106	10996	1.792412079	1	0.985803017
GOTERM_MF_DIRECT	GO:0017137~Rab GTPase binding	5	0.851788756	0.355961574	1.6375294	3.711546008	"FBtr0076648, FBtr0332936, FBtr0332295, FBtr0084008, FBtr0087604"	425	66	9284	1.654901961	1	1
GOTERM_MF_DIRECT	GO:0005096~GTPase activator activity	6	1.022146508	0.365715602	-0.495371429	5.776987682	"FBtr0070651, FBtr0076648, FBtr0100670, FBtr0332936, FBtr0084008, FBtr0087604, FBtr0290096"	425	87	9284	1.50653144	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0100670	norpA-RC	0.784421	0.005379	19.6	FlyBase norpA-RC	Figure for norpA-RC							
FBtr0332936	CG1695-RC	2.957588	0.005379	19.3	FlyBase CG1695-RC	Figure for CG1695-RC							
FBtr0334836	ninaC-RD	1.840505	0.013115	23.7	FlyBase ninaC-RD	Figure for ninaC-RD							
FBtr0084008	CG5745-RA	0.540959	0.03836	23.9	FlyBase CG5745-RA	Figure for CG5745-RA							
FBtr0077330	Syx16-RA	1.577946	0.015683	23.8	FlyBase Syx16-RA	Figure for Syx16-RA							
FBtr0076648	GAPsec-RA	-0.003795	0.042001	4.9	FlyBase GAPsec-RA	Figure for GAPsec-RA							
FBtr0070651	norpA-RA	1.235111	0.016774	14.1	FlyBase norpA-RA	Figure for norpA-RA							
FBtr0332295	Rph-RC	3.013155	0	5.5	FlyBase Rph-RC	Figure for Rph-RC							
FBtr0070494	Syx4-RA	1.092693	0.043544	0	FlyBase Syx4-RA	Figure for Syx4-RA							
FBtr0087604	RN-tre-RB	1.90701	0.02037	2.6	FlyBase RN-tre-RB	Figure for RN-tre-RB							
FBtr0290096	RhoGAP15B-RC	2.516895	0.005379	8.1	FlyBase RhoGAP15B-RC	Figure for RhoGAP15B-RC							
													
