#transcriptID	transcriptSymbol	chrom	strand	positions
FBtr0075099	CG32198-RB	3L	+	18520976:18526976
FBtr0345161	Jafrac1-RE	X	+	13325019:13331019
FBtr0078000	Hsp60B-RA	2L	+	722362:728362
FBtr0309957	Mp-RR	3L	+	6992843:6998843,6998979:6999640
FBtr0330010	CG43729-RE	2R	+	15419228:15425228,15426628:15452857
FBtr0334037	Traf-like-RG	X	+	16409046:16415046,16415179:16415657
FBtr0084176	Fadd-RA	3R	+	22028455:22034455
FBtr0074383	CG16700-RA	X	+	17085854:17091854,17092132:17095413
FBtr0302205	CG5065-RB	2R	+	16612036:16618036,16618144:16618804
FBtr0087202	CG8320-RA	2R	+	15986408:15992408,15992446:15992584
FBtr0072170	sei-RB	2R	+	24043203:24049203,24049284:24049423
FBtr0305607	CG43155-RC	X	+	11453786:11459786,11460125:11474066
FBtr0301105	Mp-RB	3L	+	6992843:6998843,6999004:6999640
FBtr0330274	cpo-RS	3R	+	17938106:17944106,17944287:17947194
FBtr0340288	adp-RB	2R	+	18145754:18151754
FBtr0336696	CAP-RY	2R	+	10272736:10278736,10284802:10293341
FBtr0077924	Cdlc2-RA	2L	+	1338461:1344461
FBtr0079655	CG13384-RC	2L	+	8378455:8384455,8384541:8384700
FBtr0112874	Eip93F-RB	3R	+	21943114:21949114,21949403:21949640
FBtr0073160	ida-RA	3L	+	3899344:3905344
FBtr0309960	b-RB	2L	+	13815248:13821248,13822149:13822682
FBtr0343927	eIF1A-RC	3R	+	18268698:18274698,18274757:18274867
FBtr0289960	Dsp1-RF	X	+	16330184:16336184,16336744:16336851
FBtr0301441	CLIP-190-RN	2L	+	17383341:17389341,17389531:17394430
FBtr0332752	cep290-RB	3L	+	837926:843926,844684:844741
FBtr0343880	CG11634-RB	2L	+	21910300:21916300
FBtr0075870	CG14118-RA	3L	+	12886658:12892658
FBtr0086914	l(2)k01209-RC	2R	+	17414407:17420407,17420574:17421448
FBtr0072652	Sac1-RA	3L	+	1242020:1248020
FBtr0074721	CG14200-RA	X	+	19489505:19495505,19496184:19509818
FBtr0302984	ZnT33D-RB	2L	+	12158241:12164241
FBtr0343642	NimA-RF	2L	+	13951785:13957785,13958153:13960831
FBtr0088829	CG12825-RA	2R	+	7783206:7789206,7789359:7789421
FBtr0073295	DOR-RB	3L	+	4408357:4414357,4414458:4417820
FBtr0112762	CG34456-RA	3L	+	9356108:9362108
FBtr0392911	Saf-B-RE	3R	+	24811464:24817464,24817737:24817862
FBtr0087895	CG30046-RB	2R	+	12308117:12314117,12314381:12314622
FBtr0113990	CG41099-RC	3R	+	3840729:3846729,3846912:3849499
FBtr0086219	HnRNP-K-RB	2R	+	20581551:20587551,20587745:20595557
FBtr0076615	Cbl-RB	3L	+	8418954:8424954,8425863:8426406
FBtr0078684	CG31550-RB	3R	+	5479543:5485543,5486181:5486235
FBtr0333685	Glut4EF-RG	3R	+	9868681:9874681,9876224:9930364
FBtr0331720	SmydA-4-RC	X	+	11038756:11044756,11045149:11047251
FBtr0087596	mam-RA	2R	+	13985203:13991203,13991493:13991978
FBtr0301318	Cap-D3-RB	2L	+	5519905:5525905,5526655:5532365
FBtr0302778	Lmpt-RF	3L	+	16905266:16911266,16911592:16912129
FBtr0081420	CG9331-RC	2L	+	20818434:20824434,20824602:20825272
FBtr0332934	CG43902-RA	X	+	10152434:10158434,10159057:10186521
FBtr0074261	Fur2-RA	X	+	16367086:16373086,16373188:16374926
FBtr0087896	mIF3-RA	2R	+	12315238:12321238
FBtr0306705	Su(var)2-10-RM	2R	+	9110122:9116122,9116452:9117178
FBtr0085278	Mst98Cb-RA	3R	+	28286798:28292798
FBtr0088125	iotaTry-RA	2R	+	11350720:11356720
FBtr0110922	Eip63E-RH	3L	+	3537580:3543580,3543708:3552787
FBtr0309055	Dro-RB	2R	+	14739961:14745961
FBtr0305498	Adar-RE	X	+	1767725:1773725,1774223:1775699
FBtr0302694	ps-RM	3R	+	9422561:9428561,9428653:9432029
FBtr0080552	Ance-RA	2L	+	13899645:13905645,13905719:13906566
FBtr0073774	CG1640-RF	X	+	13364995:13370995,13371527:13373863
FBtr0330322	CG43740-RA	X	+	10327652:10333652,10333752:10335806
FBtr0346651	CG33725-RC	3L	+	12476609:12482609,12482657:12485814
FBtr0070474	sgg-RJ	X	+	2627952:2633952,2634026:2634827
FBtr0332074	CG14117-RE	3L	+	13002285:13008285,13008568:13008623
FBtr0071451	PPP4R2r-RA	X	+	10472838:10478838,10478970:10479473
FBtr0080275	Mal-B1-RA	2L	+	11841226:11847226,11848422:11848481
FBtr0339239	CG14246-RB	3R	+	26721818:26727818
FBtr0090015	MRP-RC	2L	+	12713045:12719045,12719241:12722355
FBtr0084010	Rab11-RA	3R	+	21105408:21111408,21111856:21113946
FBtr0074097	CG15602-RA	X	+	15793596:15799596,15799722:15799793
FBtr0345607	CG17776-RB	X	+	2178725:2184725
FBtr0304595	RhoGAP100F-RF	3R	+	31819844:31825844,31826306:31827723
FBtr0273351	CG6845-RC	3L	+	140433:146433,146707:146772
FBtr0079438	gudu-RA	2L	+	7382508:7388508,7389293:7389375
FBtr0309255	AP-1gamma-RH	X	+	9103550:9109550,9109988:9110822
FBtr0084804	CG13653-RA	3R	+	25189527:25195527
FBtr0472697	CG46339-RC	3R	+	26909761:26915761,26915909:26916503
FBtr0088395	CG12129-RA	2R	+	10027304:10033304,10033552:10033604
FBtr0336765	spg-RG	3R	+	28839300:28845300,28846001:28852879
FBtr0089630	CG10910-RB	2R	+	18014268:18020268,18020349:18020429
FBtr0306154	SCCRO-RB	3L	+	15557427:15563427,15563730:15564016
FBtr0332539	CG31475-RB	3R	+	19174659:19180659,19180877:19189351
FBtr0332821	CG43897-RC	3L	+	9810062:9816062,9816358:9820074
FBtr0078173	eRF1-RC	3L	+	20342355:20348355,20348386:20348942
FBtr0077468	CG2955-RA	2L	+	4143279:4149279
FBtr0071221	CG12772-RA	X	+	8671063:8677063,8677465:8677891
FBtr0077762	Axud1-RA	2L	+	2359345:2365345,2365729:2366275
FBtr0304599	Nop60B-RG	2R	+	24168877:24174877,24174968:24175028
FBtr0079651	CG17294-RA	2L	+	8371035:8377035,8377173:8377225
FBtr0089411	Naa60-RA	3L	+	9720895:9726895,9727570:9727787
FBtr0085892	His1:CG31617-RA	2L	+	21415855:21421855
FBtr0087137	CG15705-RA	2R	+	16274950:16280950
FBtr0344806	CG14086-RD	3L	+	19269791:19275791,19276720:19278929
FBtr0113702	rl-RD	2R	+	1065975:1071975,1072440:1076635
FBtr0078701	Vha26-RA	3R	+	5585763:5591763,5592039:5592568
FBtr0344239	nwk-RI	3L	+	9131860:9137860,9137890:9138582
FBtr0310501	CG3630-RD	X	+	2156196:2162196,2162279:2168069
FBtr0334535	CSN5-RB	3R	+	16464099:16470099,16470440:16470493
FBtr0070393	Mct1-RA	X	+	2188581:2194581,2195040:2198632
FBtr0073717	CG2209-RA	X	+	13016198:13022198
FBtr0082926	CG31321-RB	3R	+	14304362:14310362,14310940:14312266
FBtr0112772	CG13177-RA	2R	+	12157675:12163675,12163801:12163862
FBtr0087734	ValRS-RB	2R	+	13192850:13198850,13198920:13198974
FBtr0076755	nmo-RB	3L	+	7973046:7979046,7979681:7980400
FBtr0100629	slo-RI	3R	+	24662146:24668146,24668910:24669541
FBtr0074716	Pfrx-RG	X	+	19492373:19498373
FBtr0310473	rdhB-RB	3R	+	22345696:22351696,22351894:22352311
FBtr0345592	CG33229-RB	3L	+	217852:223852
FBtr0083914	H-RA	3R	+	20615938:20621938,20622499:20622584
FBtr0308632	scrib-RP	3R	+	26530350:26536350,26536420:26537371
FBtr0086840	HPS4-RA	2R	+	17680691:17686691,17686939:17687258
FBtr0336758	Kdm2-RC	3R	+	9046495:9052495,9052576:9053536
FBtr0071168	Trxr-1-RB	X	+	8237582:8243582,8244060:8246094
FBtr0346299	CG15927-RB	X	+	12448729:12454729
FBtr0075679	dlp-RA	3L	+	14626601:14632601,14633383:14664296
FBtr0079649	CG17292-RA	2L	+	8366489:8372489,8372626:8372687
FBtr0333572	GXIVsPLA2-RD	3L	+	15949096:15955096,15955310:15955388
FBtr0331458	ckd-RE	3L	+	3251878:3257878,3257946:3258418
FBtr0088774	lig-RA	2R	+	8061977:8067977,8068012:8069871
FBtr0333898	Shab-RM	3L	+	2889120:2895120,2895285:2897244
FBtr0091607	CG33630-RA	3R	+	10056624:10062624
FBtr0346629	ADD1-RE	2R	+	11964686:11970686,11971076:11971138
FBtr0305282	CG43134-RA	X	+	4241313:4247313
FBtr0075578	Pgant8-RA	3L	+	15677872:15683872,15684316:15684752
FBtr0342787	Vps4-RB	X	+	17901692:17907692,17907852:17908574
FBtr0307047	chinmo-RH	2L	+	1645258:1651258,1651713:1652775
FBtr0299565	nullo-RB	X	+	7043476:7049476
FBtr0076848	akirin-RA	3L	+	7363843:7369843,7370185:7371707
FBtr0303850	CG42831-RA	3L	+	10808819:10814819
FBtr0083913	CG5466-RA	3R	+	20611883:20617883,20618103:20618215
FBtr0074604	Cyp308a1-RA	X	+	18703865:18709865,18710074:18710134
FBtr0078557	slif-RB	3L	+	22883263:22889263,22889396:22891365
FBtr0309499	kirre-RD	X	+	3093582:3099582,3100319:3113168
FBtr0070517	dnc-RA	X	+	3285244:3291244,3291872:3321041
FBtr0074314	mthl1-RA	X	+	16634968:16640968
FBtr0302669	CG42668-RF	3R	+	20312004:20318004,20318286:20318977
FBtr0086586	CG10737-RA	2R	+	19158143:19164143,19164176:19165164
FBtr0307191	nuf-RM	3L	+	14199432:14205432,14205586:14207406
FBtr0301473	Mbs-RJ	3L	+	16045959:16051959,16052151:16053030
FBtr0330007	CG43729-RA	2R	+	15395096:15401096,15402384:15409566
FBtr0078210	CG4858-RA	3L	+	20520576:20526576,20526765:20526838
FBtr0306229	milt-RC	2L	+	7031823:7037823,7038367:7040473
FBtr0070385	CG3630-RA	X	+	2160809:2166809,2167168:2168069
FBtr0110813	CG34115-RA	2R	+	20969488:20975488,20975624:20976595
FBtr0078898	cpx-RI	3R	+	4274385:4280385,4280470:4282674
FBtr0332833	CG43897-RP	3L	+	9807847:9813847,9813928:9820280
FBtr0336712	SKIP-RJ	3R	+	22127835:22133835,22134452:22142174
FBtr0346345	pit-RC	3R	+	22029717:22035717,22036016:22036076
FBtr0333031	shd-RD	3L	+	14608458:14614458,14614931:14616458
FBtr0073037	CG32284-RA	3L	+	3180664:3186664,3186698:3186760
FBtr0077490	bowl-RB	2L	+	3765700:3771700,3771874:3772461
FBtr0301031	CG13075-RB	3L	+	16077993:16083993,16084169:16084238
FBtr0078507	CG11425-RA	3L	+	22468795:22474795
FBtr0310576	CG42663-RD	2R	+	12699172:12705172,12705637:12722305
FBtr0089968	Tm1-RL	3R	+	15275550:15281550,15281604:15284613
FBtr0329935	Scgalpha-RC	2L	+	8297429:8303429,8304101:8304173
FBtr0073148	IntS10-RA	3L	+	3800710:3806710,3807012:3807065
FBtr0084684	slo-RA	3R	+	24662146:24668146,24668910:24669541
FBtr0085447	CG1907-RA	3R	+	29613065:29619065
FBtr0077648	CG3542-RA	2L	+	3017226:3023226,3023795:3023854
FBtr0080547	CenG1A-RA	2L	+	13872957:13878957,13879707:13891300
FBtr0301301	Fur2-RI	X	+	16367086:16373086,16373188:16374926
FBtr0331741	Lint-1-RD	X	+	11143444:11149444,11149852:11149925
FBtr0075629	Prosbeta2-RA	3L	+	14993951:14999951,15000130:15000200
FBtr0340434	Top1-RE	X	+	15317591:15323591,15323786:15324071
FBtr0345545	sip1-RB	2L	+	5715051:5721051,5721245:5721296
FBtr0112733	CG34432-RA	3R	+	30643151:30649151
FBtr0307532	vlc-RI	2R	+	5696112:5702112,5702188:5702867
FBtr0302673	CG42668-RK	3R	+	20303344:20309344,20310639:20318977
FBtr0074643	Usp39-RA	X	+	18852203:18858203,18858317:18858379
FBtr0083553	wrd-RE	3R	+	18161757:18167757,18167868:18169484
FBtr0089894	mRpS11-RA	3R	+	17066732:17072732,17072995:17073053
FBtr0086508	cora-RB	2R	+	19223063:19229063,19229115:19229424
FBtr0334608	Nrx-1-RD	3R	+	22463478:22469478,22471391:22471519
FBtr0100598	bbx-RB	X	+	21357028:21363028,21363602:21363660
FBtr0343585	Met-RB	X	+	11610124:11616124
FBtr0301019	CG31760-RB	2L	+	12136780:12142780,12142834:12145070
FBtr0086941	eIF3b-RB	2R	+	17530213:17536213,17536330:17536455
FBtr0299739	CG42319-RD	2R	+	13254101:13260101,13260418:13260478
FBtr0091478	CG33523-RA	3L	+	5920871:5926871,5927067:5928224
FBtr0075566	AIMP2-RB	3L	+	15577638:15583638,15583882:15584287
FBtr0299772	CG42322-RJ	3R	+	20734108:20740108,20740338:20746775
FBtr0111000	baz-RB	X	+	17154006:17160006,17161192:17175347
FBtr0306049	CG43188-RA	2R	+	11079586:11085586
FBtr0082413	wkd-RA	3R	+	11575576:11581576,11581840:11583314
FBtr0333542	mRpL48-RB	2L	+	1704462:1710462,1710538:1710599
FBtr0332757	CG43885-RA	3L	+	19537100:19543100
FBtr0331614	CG10959-RB	X	+	8142783:8148783
FBtr0334099	S-Lap3-RD	3L	+	10460335:10466335
FBtr0301727	nsl1-RE	3R	+	15787782:15793782,15794201:15794829
FBtr0073807	Tango2-RA	X	+	13610989:13616989,13617576:13617814
FBtr0452129	CG46314-RA	2L	+	21308360:21314360,21315539:21318127
FBtr0339501	Cp110-RH	X	+	22476395:22482395,22482488:22482557
FBtr0306550	CG17715-RH	2L	+	22838220:22844220,22844409:22844468
FBtr0332062	CG13293-RC	3L	+	6076883:6082883,6083354:6087217
FBtr0332730	akirin-RF	3L	+	7364800:7370800,7371026:7371707
FBtr0342788	CG9313-RB	2R	+	20973321:20979321,20979554:20981308
FBtr0306324	CG43255-RA	X	+	8917960:8923960
FBtr0076295	CG8072-RA	3L	+	10145827:10151827
FBtr0343435	CG3328-RC	2R	+	24161174:24167174,24167797:24168458
FBtr0345113	Svil-RAF	3L	+	2381992:2387992
FBtr0290281	slam-RB	2L	+	6366388:6372388,6372582:6373296
FBtr0343100	CG6650-RC	3L	+	14026074:14032074,14032371:14032425
FBtr0339354	rgr-RC	2R	+	8594415:8600415,8601230:8608157
FBtr0307497	nolo-RE	2L	+	21678106:21684106,21684340:21684546
FBtr0076801	CG14838-RA	3L	+	7577454:7583454,7583755:7583817
FBtr0076118	Gr68a-RA	3L	+	11745305:11751305
FBtr0301012	CG34251-RB	3L	+	17665796:17671796,17672012:17673651
FBtr0080413	ACXC-RA	2L	+	12906530:12912530,12912700:12912748
FBtr0070442	Seipin-RA	X	+	2613799:2619799,2620594:2620825
FBtr0343604	Pvf1-RC	X	+	18826682:18832682,18832947:18837993
FBtr0300444	CG14397-RA	2L	+	21085227:21091227,21091369:21094409
FBtr0084553	CG13606-RA	3R	+	24166628:24172628,24172733:24173054
FBtr0332093	RhoGAP71E-RG	3L	+	15582860:15588860,15589997:15600416
FBtr0112712	sif-RF	3L	+	5658861:5664861,5666037:5667822
FBtr0307530	vlc-RG	2R	+	5696675:5702675,5702813:5702867
FBtr0345103	Svil-RU	3L	+	2411955:2417955,2418336:2434626
FBtr0114563	CG9083-RB	2R	+	24892273:24898273
FBtr0083904	CG5191-RA	3R	+	20554865:20560865,20561300:20561357
FBtr0303896	Mco1-RB	2L	+	9410588:9416588,9416655:9420523
FBtr0344438	Kr-h1-RB	2L	+	6085412:6091412,6092245:6092995
FBtr0081754	wtrw-RB	3R	+	7885331:7891331,7891572:7894369
FBtr0083228	Akt1-RC	3R	+	16093228:16099228,16099596:16100900
FBtr0076117	CG32087-RA	3L	+	11726141:11732141
FBtr0074799	Nup205-RA	X	+	19846214:19852214,19852355:19852424
FBtr0072928	CG16984-RA	3L	+	2589781:2595781
FBtr0306947	Gpdh3-RC	3R	+	22376074:22382074,22382269:22382330
FBtr0340150	mthl1-RB	X	+	16634968:16640968
FBtr0345358	CG17337-RC	2R	+	5692458:5698458,5699225:5699286
FBtr0079832	CG13113-RA	2L	+	9538171:9544171
FBtr0076456	CG3689-RB	3L	+	9405038:9411038,9411422:9411479
FBtr0304952	TTLL4A-RM	2L	+	10983401:10989401,10989591:10989656
FBtr0073002	CG11486-RF	3L	+	3065133:3071133,3071298:3073081
FBtr0081098	CG10343-RA	2L	+	18697473:18703473,18703661:18703728
FBtr0079797	Ggamma30A-RC	2L	+	9250563:9256563,9257207:9272466
FBtr0333454	VhaM9.7-b-RB	3L	+	21533862:21539862,21540083:21540153
FBtr0079100	Lam-RA	2L	+	5536542:5542542,5542661:5543325
FBtr0113221	CG4820-RB	3R	+	11210535:11216535,11216730:11216793
FBtr0112422	CG34229-RA	2R	+	11835608:11841608
FBtr0303277	CG42748-RG	2L	+	22128333:22134333,22135108:22140719
FBtr0339171	CG44257-RA	3R	+	17259278:17265278
FBtr0100224	Kaz1-ORFB-RH	3L	+	211370:217370
FBtr0073058	ZnT63C-RE	3L	+	3302044:3308044,3308175:3310520
FBtr0070823	Act5C-RB	X	+	5895982:5901982
FBtr0079870	CG4036-RA	2L	+	9784897:9790897
FBtr0330399	Tango13-RF	X	+	13570208:13576208,13576352:13576612
FBtr0073902	mRpL38-RA	X	+	14220289:14226289,14226491:14226562
FBtr0088418	14-3-3zeta-RH	2R	+	10093677:10099677,10099739:10104256
FBtr0083962	Syp-RD	3R	+	20783986:20789986,20790333:20791745
FBtr0072270	betaTub60D-RA	2R	+	24299881:24305881,24306139:24310722
FBtr0083208	Sap47-RE	3R	+	15929119:15935119,15935585:15935831
FBtr0089079	CG1909-RA	4	+	577108:583108,583253:583789
FBtr0333957	RhoGEF3-RG	3L	+	294586:300586,301682:301758
FBtr0111011	mRpL34-RA	2R	+	16092948:16098948
FBtr0089083	Eph-RB	4	+	604684:610684,610897:611285
FBtr0347395	CG11857-RC	3R	+	25252898:25258898
FBtr0070600	HIP-RA	X	+	3793150:3799150,3799420:3799500
FBtr0308315	Hydr2-RB	2L	+	3157645:3163645,3164075:3166970
FBtr0077144	Cyt-c1-RA	3L	+	5354211:5360211,5360412:5360692
FBtr0077694	Arpc5-RA	2L	+	2574292:2580292
FBtr0309966	prage-RG	X	+	1767719:1773719,1774223:1788664
FBtr0087989	wash-RA	2R	+	12174623:12180623
FBtr0073352	CG13705-RA	3L	+	4890864:4896864
FBtr0075914	Ptp69D-RB	3L	+	12728945:12734945,12735250:12736058
FBtr0087554	Obp50d-RA	2R	+	14367108:14373108,14373211:14373266
FBtr0088463	GstT1-RA	2R	+	9599988:9605988,9606205:9606280
FBtr0333764	HIP-R-RD	X	+	3784042:3790042,3790071:3790130
FBtr0332665	dpr6-RD	3L	+	9968651:9974651,9975845:10003584
FBtr0310267	Gnpnat-RE	3R	+	29733843:29739843,29739980:29740568
FBtr0075379	mRpS34-RA	3L	+	16342074:16348074
FBtr0082810	Lkb1-RC	3R	+	13670689:13676689,13676933:13677016
FBtr0345366	CG11279-RC	3L	+	13040977:13046977
FBtr0074510	Ada3-RA	X	+	18079761:18085761
FBtr0329931	Sema1a-RH	2L	+	8537330:8543330,8543675:8544544
FBtr0083917	H-RC	3R	+	20615938:20621938,20623299:20623371
FBtr0070209	Naa30A-RA	X	+	1336106:1342106,1343215:1343290
FBtr0331434	CG15432-RB	2L	+	4436393:4442393
FBtr0078521	CG32453-RA	3L	+	22691230:22697230
FBtr0086969	RhoGEF2-RE	2R	+	17021190:17027190,17027340:17028673
FBtr0072759	CG13919-RA	3L	+	1639467:1645467
FBtr0074649	CG7378-RA	X	+	18894410:18900410,18900568:18900731
FBtr0303404	pre-mod(mdg4)-X-RA	3R	+	21359609:21365609,21365681:21366004
FBtr0086089	COX4L-RA	2R	+	5347994:5353994
FBtr0331604	SK-RQ	X	+	5334236:5340236,5340322:5341181
FBtr0077721	daw-RA	2L	+	2802322:2808322,2808537:2808980
FBtr0332059	CG6610-RB	3L	+	6069536:6075536,6075689:6075761
FBtr0084645	ana1-RA	3R	+	24524660:24530660,24530915:24530992
FBtr0089566	Zasp66-RI	3L	+	8624243:8630243,8630377:8630517
FBtr0079187	CG13995-RA	2L	+	6048302:6054302,6054714:6056884
FBtr0072770	Gk2-RB	3L	+	1733245:1739245,1739351:1743208
FBtr0307524	slgA-RI	X	+	21368312:21374312,21374460:21374658
FBtr0112622	CG34383-RB	3R	+	13709207:13715207,13715820:13721826
FBtr0070525	Myc-RA	X	+	3367159:3373159,3373724:3374940
FBtr0333482	CG34260-RC	3L	+	20708100:20714100,20714160:20714212
FBtr0335514	koi-RC	2R	+	6805788:6811788,6812084:6812781
FBtr0076750	Srp9-RA	3L	+	7930373:7936373
FBtr0347599	CG32052-RE	3L	+	9781046:9787046,9787244:9799057
FBtr0080294	CG14945-RB	2L	+	12043418:12049418,12051033:12051108
FBtr0331731	CG11284-RD	X	+	8675551:8681551,8681829:8687232
FBtr0300813	Clc-RB	3L	+	20235053:20241053
FBtr0070681	pon-RA	X	+	4630318:4636318
FBtr0331231	CG4133-RC	2L	+	449531:455531,455828:456086
FBtr0079095	cl-RA	2L	+	5514260:5520260,5520546:5520619
FBtr0303259	side-IV-RC	3R	+	13444590:13450590,13450725:13452218
FBtr0339246	fd96Ca-RB	3R	+	25076684:25082684
FBtr0071058	CG11368-RA	X	+	7446209:7452209
FBtr0303410	pre-mod(mdg4)-U-RA	3R	+	21359609:21365609,21366339:21366450
FBtr0078200	isoQC-RA	3L	+	20468962:20474962
FBtr0330230	CG13579-RB	2R	+	24449292:24455292,24455848:24483040
FBtr0310327	CG9485-RF	2R	+	21306399:21312399,21312463:21314424
FBtr0336456	MED31-RD	3R	+	4635963:4641963,4642423:4642569
FBtr0078368	Rpn10-RA	3L	+	21531000:21537000,21537139:21537240
FBtr0072977	Or63a-RA	3L	+	2955534:2961534,2961875:2961934
FBtr0074900	CG7646-RA	3L	+	19988323:19994323,19994736:19994808
FBtr0112678	Rab26-RC	3L	+	21314007:21320007,21320632:21327588
FBtr0112367	CG34176-RA	2L	+	3998080:4004080
FBtr0073447	CG15198-RA	X	+	11242236:11248236
FBtr0345945	CG7222-RB	2R	+	10807405:10813405,10813465:10814031
FBtr0331782	Dbp80-RF	3L	+	27273316:27279316,27279423:27279481
FBtr0086080	Atf6-RB	2R	+	5141166:5147166
FBtr0100565	CG6144-RB	2L	+	10482694:10488694
FBtr0301162	GlyT-RB	2R	+	23814354:23820354,23820596:23829968
FBtr0305307	CG33060-RB	3L	+	16325040:16331040
FBtr0339500	Cp110-RG	X	+	22476082:22482082,22482397:22482476
FBtr0345588	CG13887-RE	3L	+	831861:837861
FBtr0301659	Tlk-RJ	X	+	3714007:3720007,3720323:3721376
FBtr0076348	vnc-RA	3L	+	9966312:9972312,9972398:9972922
FBtr0074886	Papss-RC	3L	+	19839293:19845293,19845631:19858378
FBtr0081480	Hr39-RA	2L	+	21231250:21237250,21237347:21238281
FBtr0111194	CG41106-RA	X	+	22939321:22945321
FBtr0088273	CG11777-RA	2R	+	10462616:10468616,10468637:10468701
FBtr0344123	CG45011-RA	2L	+	11828086:11834086
FBtr0305676	CG8654-RB	2R	+	19976110:19982110,19982205:19982298
FBtr0077877	chinmo-RD	2L	+	1645258:1651258,1651412:1652775
FBtr0339380	wun2-RB	2R	+	9408342:9414342,9415362:9416402
FBtr0301222	frac-RE	3L	+	7556610:7562610,7563134:7564168
FBtr0342579	CG16964-RB	2L	+	11941941:11947941
FBtr0077432	l(2)k05819-RA	2L	+	4388196:4394196,4394490:4394545
FBtr0072168	IntS1-RA	2R	+	24031943:24037943,24039380:24039441
FBtr0331794	Rab26-RE	3L	+	21312774:21318774,21320632:21327588
FBtr0113871	Set1-RB	3L	+	25102997:25108997,25109239:25109310
FBtr0303781	CG17732-RB	3L	+	19975685:19981685,19981768:19981838
FBtr0087845	ZnT49B-RA	2R	+	12646805:12652805,12653128:12653182
FBtr0342791	CG15225-RB	2R	+	20786982:20792982
FBtr0077634	lilli-RC	2L	+	2882284:2888284,2888599:2890450
FBtr0073651	Lsp1alpha-RA	X	+	12484291:12490291
FBtr0334857	CG44085-RI	2L	+	13260869:13266869,13267232:13267595
FBtr0075182	CG7510-RA	3L	+	17615824:17621824,17622494:17626108
FBtr0080024	CG5188-RA	2L	+	10422829:10428829,10428931:10428986
FBtr0332099	Girdin-RE	3L	+	3172930:3178930,3179422:3179944
FBtr0343988	CG1239-RB	3R	+	5727513:5733513,5733617:5733680
FBtr0301866	AP-2mu-RC	3R	+	22456455:22462455,22462780:22462848
FBtr0072970	Atg2-RA	3L	+	2768338:2774338
FBtr0076973	MCU-RD	3L	+	6544739:6550739,6550870:6551682
FBtr0111037	shi-RI	X	+	15886200:15892200,15892582:15892828
FBtr0346341	Ms-RC	3R	+	24335551:24341551,24341681:24342828
FBtr0310074	NimB1-RB	2L	+	13957507:13963507,13963739:13963899
FBtr0076693	Atg18a-RC	3L	+	8180995:8186995,8187219:8187479
FBtr0346085	CG33178-RC	X	+	15076827:15082827,15083042:15083257
FBtr0077720	daw-RB	2L	+	2799261:2805261,2805602:2808980
FBtr0334638	bon-RE	3R	+	20587139:20593139,20594045:20606281
FBtr0301566	CG42578-RA	X	+	20440371:20446371
FBtr0343842	CG43402-RB	2L	+	1436627:1442627
FBtr0072758	Bgb-RA	3L	+	1633711:1639711
FBtr0303384	Msp300-RE	2L	+	5145749:5151749,5151942:5152037
FBtr0300065	CG18063-RD	2L	+	15951858:15957858,15957973:15958031
FBtr0072124	CG5543-RA	2R	+	23803236:23809236
FBtr0100345	sv-RG	4	+	1082798:1088798,1089063:1092259
FBtr0336841	mib2-RC	2L	+	19029500:19035500,19035698:19035761
FBtr0083574	CG8064-RA	3R	+	18277660:18283660
FBtr0305097	Rbfox1-RL	3L	+	10475412:10481412,10481946:10506070
FBtr0346322	CG43175-RB	3R	+	17624717:17630717,17630957:17644778
FBtr0070672	bi-RA	X	+	4406856:4412856,4412921:4428198
FBtr0343196	CG13540-RB	2R	+	23264477:23270477
FBtr0306600	SPoCk-RF	3L	+	22767536:22773536,22773717:22774738
FBtr0303153	CG13924-RC	3L	+	1864019:1870019
FBtr0077042	Jon65Aii-RA	3L	+	6046321:6052321
FBtr0346014	Naa15-16-RB	X	+	19473984:19479984,19480679:19481018
FBtr0331730	CG11284-RC	X	+	8679626:8685626,8685791:8686695
FBtr0072972	Pgant6-RA	3L	+	2776255:2782255,2782414:2782738
FBtr0087528	cg-RC	2R	+	14167693:14173693,14174270:14174462
FBtr0078119	CG3436-RA	2L	+	150149:156149,156349:156423
FBtr0339984	Cyp6a19-RB	2R	+	14871786:14877786
FBtr0073805	CG11178-RB	X	+	13600144:13606144,13607475:13607683
FBtr0345323	CG18749-RC	3R	+	8238055:8244055,8244142:8244197
FBtr0072969	Non2-RA	3L	+	2760999:2766999
FBtr0331717	rdgB-RJ	X	+	13756752:13762752,13762946:13767787
FBtr0307103	CG43355-RA	2L	+	11478820:11484820
FBtr0080735	CG4161-RA	2L	+	15427309:15433309
FBtr0305039	AP-1sigma-RB	3R	+	23952651:23958651,23958799:23959032
FBtr0299916	brp-RE	2R	+	9497765:9503765,9503846:9505004
FBtr0333208	enc-RF	3L	+	3812679:3818679,3818921:3829419
FBtr0086463	CG15120-RA	2R	+	19491752:19497752,19498067:19498160
FBtr0308034	DOR-RH	3L	+	4408357:4414357,4414458:4417820
FBtr0336898	CG14204-RB	X	+	19577617:19583617,19583940:19583999
FBtr0091487	PNUTS-RB	2L	+	864465:870465,870553:871341
FBtr0087539	beta4GalNAcTA-RA	2R	+	14253030:14259030,14259289:14259357
FBtr0082575	GstD8-RA	3R	+	12374008:12380008
FBtr0086569	sano-RD	2R	+	18941317:18947317,18947587:18954978
FBtr0080788	Tektin-A-RA	2L	+	15848268:15854268,15854723:15854814
FBtr0304644	CG43060-RB	3R	+	8035224:8041224
